year,rank,title,distributor,rental_usd,rental_display,film_wikipedia_url,source_page_url,source_table,poster_lookup_status,poster_wikipedia_page_title,poster_wikipedia_file,poster_image_url,poster_thumbnail_url,poster_source_page_url,poster_file_page_url,local_poster_path,last_updated,metadata_status,metadata_error,metadata_last_updated,wikipedia_page_title,wikipedia_display_title,wikipedia_url,director,producer,writer,based_on,starring,music_by,cinematography,editing,studio,release_date,runtime,country,language,budget,box_office,imdb_rating,imdb_rating_count,imdb_url,rotten_tomatoes_score,rotten_tomatoes_review_count,rotten_tomatoes_average_rating,rottentomatoes_url,wikipedia_tags
1950,1,Samson and Delilah,Paramount Pictures,11000000,"$11,000,000",https://en.wikipedia.org/wiki/Samson_and_Delilah_(1949_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Samson and Delilah (1949 film),Samson and Delilah 1949 poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Samson_and_Delilah_1949_poster.jpg/250px-Samson_and_Delilah_1949_poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Samson_and_Delilah_1949_poster.jpg/250px-Samson_and_Delilah_1949_poster.jpg,https://en.wikipedia.org/wiki/Samson_and_Delilah_%281949_film%29,https://en.wikipedia.org/wiki/File:Samson_and_Delilah_1949_poster.jpg,covers/1950_1_samson_and_delilah.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Samson and Delilah (1949 film),Samson and Delilah (1949 film),https://en.wikipedia.org/wiki/Samson_and_Delilah_(1949_film),Cecil B. DeMille,Cecil B. DeMille,"Jesse L. Lasky Jr., Fredric M. Frank, Harold Lamb","Samson the Nazirite 1926 novel (Ze'ev Jabotinsky, Vladimir Jabotinsky) Holy Bible (Book of Judges)","Hedy Lamarr, Victor Mature, George Sanders, Angela Lansbury, Henry Wilcoxon",Victor Young,George Barnes,Anne Bauchens,Paramount Pictures,1949-12-21 (New York City); 1950-01-13 (Los Angeles),134 minutes (with overture and exit music),United States,English,$2.9–3.1 million,$25.6 million,,,https://www.imdb.com/title/tt0041838/releaseinfo?ref_=tt_ov_inf,,,,https://www.rottentomatoes.com/m/1018126_samson_and_delilah,"1949 films | 1949 drama films | American drama films | American religious epic films | Films about Samson | Films directed by Cecil B. DeMille | Films scored by Victor Young | Films set in the 11th century BC | Films shot in Algeria | Films shot in Lone Pine, California | Films that won the Best Costume Design Academy Award | Films whose production designer won the Best Production Design Academy Award | Paramount Pictures films | 1949 English-language films | 1949 American films | Films about antisemitism | English-language drama films | 1940s color films"
1950,2,Battleground,Metro-Goldwyn-Mayer,4550000,"$4,550,000",https://en.wikipedia.org/wiki/Battleground_(film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Battleground (film),BattlegroundPoster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/BattlegroundPoster.jpg/250px-BattlegroundPoster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/BattlegroundPoster.jpg/250px-BattlegroundPoster.jpg,https://en.wikipedia.org/wiki/Battleground_%28film%29,https://en.wikipedia.org/wiki/File:BattlegroundPoster.jpg,covers/1950_2_battleground.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Battleground (film),Battleground (film),https://en.wikipedia.org/wiki/Battleground_(film),William A. Wellman,Dore Schary,Robert Pirosh,,"Van Johnson, John Hodiak, Ricardo Montalbán, George Murphy",Lennie Hayton,Paul C. Vogel,John D. Dunning,,"1949-11-09 (Washington D.C., premiere)",118 minutes,United States,English,"$1,631,000","$6,269,000 (worldwide rentals)",,,https://www.imdb.com/title/tt0041163/,,,,https://www.rottentomatoes.com/m/1001816-battleground,1949 films | Rotten Tomatoes template using name parameter | 1949 war films | American World War II films | American black-and-white films | 1949 English-language films | Films directed by William A. Wellman | Films scored by Lennie Hayton | Films set in 1944 | Films set in Belgium | Films whose cinematographer won the Best Cinematography Academy Award | Films whose writer won the Best Original Screenplay Academy Award | Films featuring a Best Supporting Actor Golden Globe winning performance | Metro-Goldwyn-Mayer films | Films about the Western Front (World War II) | World War II films based on actual events | Films about the United States Army | Ardennes in fiction | 1949 American films | English-language war films | Works about the Battle of the Bulge
1950,3,King Solomon's Mines,"Loew's, Inc",4400000,"$4,400,000",https://en.wikipedia.org/wiki/King_Solomon%27s_Mines_(1950_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,King Solomon's Mines (1950 film),Kingsolomonsmines1950.jpg,https://upload.wikimedia.org/wikipedia/en/9/92/Kingsolomonsmines1950.jpg,https://upload.wikimedia.org/wikipedia/en/9/92/Kingsolomonsmines1950.jpg,https://en.wikipedia.org/wiki/King_Solomon%27s_Mines_%281950_film%29,https://en.wikipedia.org/wiki/File:Kingsolomonsmines1950.jpg,covers/1950_3_king_solomon_s_mines.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,King Solomon's Mines (1950 film),King Solomon's Mines (1950 film),https://en.wikipedia.org/wiki/King_Solomon%27s_Mines_(1950_film),"Compton Bennett, Andrew Marton",Sam Zimbalist,Helen Deutsch,King Solomon's Mines (1885 novel) (H. Rider Haggard),"Deborah Kerr, Stewart Granger, Richard Carlson (actor), Richard Carlson",Mischa Spoliansky,Robert Surtees,"Ralph E. Winters, Conrad A. Nervig",Metro-Goldwyn-Mayer,"Film date, 1950, 11, 09, New York City, ref1=, 1950, 11, 24, U.S.",103 minutes,United States,English,$2.3 million,$15.1 million,,,https://www.imdb.com/title/tt0042646/,,,,https://www.rottentomatoes.com/m/1011638-king_solomons_mines/reviews,Pages containing links to subscription-only content | 1950 films | 1950 adventure films | American adventure films | American romantic drama films | 1950 English-language films | Films based on King Solomon's Mines | Films directed by Andrew Marton | Films directed by Compton Bennett | Films set in 1897 | Films shot in the Democratic Republic of the Congo | Films shot in Kenya | Films shot in Tanzania | Films shot in the United States | Films shot in Uganda | Films whose cinematographer won the Best Cinematography Academy Award | Films whose editor won the Best Film Editing Academy Award | Metro-Goldwyn-Mayer films | Films about treasure hunting | 1950 American films | English-language adventure films | Lost world films | English-language romantic drama films | Films scored by Mischa Spoliansky
1950,4,Cheaper by the Dozen,20th Century Fox,4325000,"$4,325,000",https://en.wikipedia.org/wiki/Cheaper_by_the_Dozen_(1950_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Cheaper by the Dozen (1950 film),Cheaper by the dozen film poster.jpg,https://upload.wikimedia.org/wikipedia/en/a/a2/Cheaper_by_the_dozen_film_poster.jpg,https://upload.wikimedia.org/wikipedia/en/a/a2/Cheaper_by_the_dozen_film_poster.jpg,https://en.wikipedia.org/wiki/Cheaper_by_the_Dozen_%281950_film%29,https://en.wikipedia.org/wiki/File:Cheaper_by_the_dozen_film_poster.jpg,covers/1950_4_cheaper_by_the_dozen.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Cheaper by the Dozen (1950 film),Cheaper by the Dozen (1950 film),https://en.wikipedia.org/wiki/Cheaper_by_the_Dozen_(1950_film),Walter Lang,Lamar Trotti,Lamar Trotti,Cheaper by the Dozen 1948 novel (Ernestine Gilbreth Carey Frank Bunker Gilbreth Jr.),Clifton Webb Jeanne Crain Myrna Loy Betty Lynn Edgar Buchanan Barbara Bates Mildred Natwick Sara Allgood,Cyril J. Mockridge,Leon Shamroy,James Watson Webb Jr.,20th Century Fox,1950-03-31 (New York); 1950-04-07 (Los Angeles) (ref1=) (ref2=),85 minutes,United States,English,$1.7 million,$4.3-4.425 million (U.S. and Canada rentals),,,https://www.imdb.com/title/tt0042327/,,,,,1950 films | 1950 comedy films | 20th Century Fox films | American comedy films | 1950 English-language films | Films about families | Films based on biographies | Films directed by Walter Lang | Films scored by Cyril J. Mockridge | Films set in the 1920s | Films set in Rhode Island | Films set in New Jersey | Films shot in New Jersey | Films with screenplays by Lamar Trotti | American children's comedy films | Films about parenting | 1950 American films | English-language comedy films
1950,5,Annie Get Your Gun,"Loew's, Inc.",4200000,"$4,200,000",https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Annie Get Your Gun (film),Annie Get Your Gun.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Annie_Get_Your_Gun.png/250px-Annie_Get_Your_Gun.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Annie_Get_Your_Gun.png/250px-Annie_Get_Your_Gun.png,https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_%28film%29,https://en.wikipedia.org/wiki/File:Annie_Get_Your_Gun.png,covers/1950_5_annie_get_your_gun.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Annie Get Your Gun (film),Annie Get Your Gun (film),https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(film),George Sidney Busby Berkeley (uncredited) Charles Walters (uncredited),Arthur Freed Roger Edens,Sidney Sheldon,Annie Get Your Gun 1946 book (Dorothy Fields Herbert Fields),Betty Hutton Howard Keel Louis Calhern Keenan Wynn Benay Venuta J. Carrol Naish,Songs: (lyrics and music by) Irving Berlin Music Direction: Adolph Deutsch Additional music: Roger Edens,Charles Rosher,James E. Newcom,Metro-Goldwyn-Mayer,1950-05-17,107 minutes,United States,English,"$3,734,000","$7,756,000",,,https://www.imdb.com/title/tt0042200/,,,,https://www.rottentomatoes.com/m/annie_get_your_gun,1950 films | Rotten Tomatoes ID same as Wikidata | 1950 musical comedy films | 1950s Western (genre) musical films | American musical comedy films | American Western (genre) musical films | Films about Wild West shows | Films that won the Best Original Score Academy Award | Films directed by Busby Berkeley | Films directed by George Sidney | Films directed by Charles Walters | Metro-Goldwyn-Mayer films | Films based on musicals | Films produced by Arthur Freed | Films with screenplays by Sidney Sheldon | Films scored by Adolph Deutsch | Films scored by Irving Berlin | Films set in the 19th century | Cultural depictions of Annie Oakley | Cultural depictions of Buffalo Bill | Cultural depictions of Sitting Bull | 1950 English-language films | 1950 American films | English-language musical comedy films | English-language Western (genre) musical films
1950,6,Cinderella,RKO Radio Pictures,4150000,"$4,150,000",https://en.wikipedia.org/wiki/Cinderella_(1950_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Cinderella (1950 film),1950 is the Cinderella year.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/1950_is_the_Cinderella_year.jpg/250px-1950_is_the_Cinderella_year.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/1950_is_the_Cinderella_year.jpg/250px-1950_is_the_Cinderella_year.jpg,https://en.wikipedia.org/wiki/Cinderella_%281950_film%29,https://en.wikipedia.org/wiki/File:1950_is_the_Cinderella_year.jpg,covers/1950_6_cinderella.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Cinderella (1950 film),Cinderella (1950 film),https://en.wikipedia.org/wiki/Cinderella_(1950_film),Wilfred Jackson Hamilton Luske Clyde Geronimi,Walt Disney,"Bill Peet, William Peet Ted Sears Homer Brightman Ken Anderson (animator), Kenneth Anderson Erdman Penner Winston Hibler Harry Reeves Joe Rinaldi","""Cinderella"" (Charles Perrault)","Ilene Woods Eleanor Audley Verna Felton Rhoda Williams Jimmy MacDonald (sound effects artist), James MacDonald Luis van Rooten","Oliver Wallace Paul Smith (composer), Paul Smith",,Donald Halliday,Walt Disney Productions,1950-02-15 (Boston); 1950-03-04 (United States),74 minutes,United States,English,$2.2 million,$182 million,,,https://www.imdb.com/title/tt0042332/,95%,42,,https://www.rottentomatoes.com/m/cinderella,Pages with non-numeric formatnum arguments | 1950 films | Rotten Tomatoes template using name parameter | 1950 American animated films | 1950 children's films | 1950 English-language films | 1950 fantasy films | 1950s children's animated films | 1950s children's fantasy films | 1950s musical fantasy films | 1950s romantic fantasy films | 1950s romantic musical films | American animated feature films | American children's animated fantasy films | American children's animated musical films | American romantic fantasy films | American romantic musical films | Animated films about birds | Animated films about cats | Animated films about dogs | Animated films about fairies | Animated films about horses | Animated films about mice | Animated films about royalty | Animated films about talking animals | Animated films about wish fulfillment | Animated films based on Cinderella | Animated films set in country houses | Animated films set in France | Animated films set in palaces | Animated films set in the 19th century | Animated romance films | Cinderella (franchise) | Disney animated films based on fairy tales | Disney Princess films | English-language musical fantasy films | English-language romantic fantasy films | English-language romantic musical films | Films about abuse | Films about weddings | Films based on Charles Perrault's Cinderella | Films directed by Clyde Geronimi | Films directed by Hamilton Luske | Films directed by Wilfred Jackson | Films produced by Walt Disney | Films scored by Oliver Wallace | Films scored by Paul Smith (composer) | Films set in the 1850s | Films with screenplays by Bill Peet | Films with screenplays by Erdman Penner | Films with screenplays by Harry Reeves | Films with screenplays by Homer Brightman | Films with screenplays by Joe Rinaldi | Films with screenplays by Ken Anderson | Films with screenplays by Ted Sears | Films with screenplays by Winston Hibler | Golden Bear winners | RKO Pictures films | Rotoscoped films | United States National Film Registry films | Walt Disney Animation Studios films
1950,7,Father of the Bride,"Loew's, Inc.",4150000,"$4,150,000",https://en.wikipedia.org/wiki/Father_of_the_Bride_(1950_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Father of the Bride (1950 film),FatheroftheBride1950.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/FatheroftheBride1950.jpg/250px-FatheroftheBride1950.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/FatheroftheBride1950.jpg/250px-FatheroftheBride1950.jpg,https://en.wikipedia.org/wiki/Father_of_the_Bride_%281950_film%29,https://en.wikipedia.org/wiki/File:FatheroftheBride1950.jpg,covers/1950_7_father_of_the_bride.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Father of the Bride (1950 film),Father of the Bride (1950 film),https://en.wikipedia.org/wiki/Father_of_the_Bride_(1950_film),Vincente Minnelli,Pandro S. Berman,Frances Goodrich Albert Hackett,Father of the Bride (novel) (Father of the Bride by Edward Streeter),Spencer Tracy Joan Bennett Elizabeth Taylor,Adolph Deutsch,John Alton,Ferris Webster,Metro-Goldwyn-Mayer,1950-05-18 (New York City); 1950-06-16 (United States),92 minutes,United States,English,"$1,215,000","$6,084,000",,,https://www.imdb.com/title/tt0042451/,90%,31,7.3/10,https://www.rottentomatoes.com/m/1007154-father_of_the_bride,1950 films | Vague or ambiguous geographic scope from May 2021 | Father of the Bride (franchise) | 1950 romantic comedy films | 1950 American films | 1950 English-language films | American black-and-white films | American romantic comedy films | Films about families | Films about father–daughter relationships | Films about weddings in the United States | Films adapted into television shows | Films based on American novels | Films directed by Vincente Minnelli | Films produced by Pandro S. Berman | Films scored by Adolph Deutsch | Films shot in California | Metro-Goldwyn-Mayer films | English-language romantic comedy films
1950,8,Sands of Iwo Jima,Republic Pictures,3900000,"$3,900,000",https://en.wikipedia.org/wiki/Sands_of_Iwo_Jima,https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Sands of Iwo Jima,Sands of Iwo Jima poster.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Sands_of_Iwo_Jima_poster.jpg/250px-Sands_of_Iwo_Jima_poster.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Sands_of_Iwo_Jima_poster.jpg/250px-Sands_of_Iwo_Jima_poster.jpg,https://en.wikipedia.org/wiki/Sands_of_Iwo_Jima,https://en.wikipedia.org/wiki/File:Sands_of_Iwo_Jima_poster.jpg,covers/1950_8_sands_of_iwo_jima.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Sands of Iwo Jima,Sands of Iwo Jima,https://en.wikipedia.org/wiki/Sands_of_Iwo_Jima,Allan Dwan,Herbert Yates,"Harry Brown (writer), Harry Brown, James Edward Grant",,"John Wayne, John Agar, Adele Mara, Forrest Tucker, Wally Cassell, James Brown (Rin Tin Tin), James Brown, Richard Webb (actor), Richard Webb, Arthur Franz, Julie Bishop (actress), Julie Bishop, James Holden (actor), James Holden, Peter Coe, Richard Jaeckel",Victor Young,Reggie Lanning,Richard L. Van Enger,Republic Pictures,"1949-12-14 (San Francisco, premiere)","100 minutes, 109 minutes",United States,English,"$1,397,558","$4 million (US/Canada rentals) or $4,227,407 (as at 27 March 1953)",,,https://www.imdb.com/title/tt0041841/,,,,,Articles needing additional references from June 2021 | 1949 films | 1940s war drama films | American war drama films | American black-and-white films | Films about the Battle of Iwo Jima | Pacific War films | Republic Pictures films | World War II films based on actual events | Films set in Kiribati | Films directed by Allan Dwan | Films with screenplays by Harry Brown (writer) | Films scored by Victor Young | Films about the United States Marine Corps | 1949 drama films | Films shot in California | 1949 English-language films | 1949 American films | English-language war drama films | Films about American military personnel
1950,9,Broken Arrow,20th Century Fox,3550000,"$3,550,000",https://en.wikipedia.org/wiki/Broken_Arrow_(1950_film),https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Broken Arrow (1950 film),Broken Arrow Film Poster.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Broken_Arrow_Film_Poster.jpg/250px-Broken_Arrow_Film_Poster.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Broken_Arrow_Film_Poster.jpg/250px-Broken_Arrow_Film_Poster.jpg,https://en.wikipedia.org/wiki/Broken_Arrow_%281950_film%29,https://en.wikipedia.org/wiki/File:Broken_Arrow_Film_Poster.jpg,covers/1950_9_broken_arrow.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Broken Arrow (1950 film),Broken Arrow (1950 film),https://en.wikipedia.org/wiki/Broken_Arrow_(1950_film),Delmer Daves,Julian Blaustein,Albert Maltz,Blood Brother by Elliott Arnold,James Stewart Jeff Chandler Debra Paget Basil Ruysdael Will Geer Arthur Hunnicutt,Hugo Friedhofer,Ernest Palmer,J. Watson Webb Jr.,20th Century Fox,1950-07-20,93 minutes,United States,English,,$3.6 million (US rentals),,,https://www.imdb.com/title/tt0042286/,,,,,1950 films | 1950 Western (genre) films | 1950 American films | 1950 English-language films | 20th Century Fox films | American Western (genre) films | Apache Wars films | Films adapted into comics | Films about Native Americans | Films based on American Western (genre) novels | Films directed by Delmer Daves | Films scored by Hugo Friedhofer | Films set in Arizona | Films set in the 1860s | Films shot in Arizona | Revisionist Western (genre) films | Western (genre) cavalry films | English-language Western (genre) films
1950,10,Twelve O'Clock High,20th Century-Fox,3225000,"$3,225,000",https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,https://en.wikipedia.org/wiki/List_of_1950_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1950,ok,Twelve O'Clock High,Twelve O'Clock High (1949 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Twelve_O%27Clock_High_%281949_poster%29.jpg/250px-Twelve_O%27Clock_High_%281949_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Twelve_O%27Clock_High_%281949_poster%29.jpg/250px-Twelve_O%27Clock_High_%281949_poster%29.jpg,https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,https://en.wikipedia.org/wiki/File:Twelve_O%27Clock_High_%281949_poster%29.jpg,covers/1950_10_twelve_o_clock_high.jpg,2026-05-12T03:17:54,ok,,2026-05-25T14:50:18,Twelve O'Clock High,Twelve O'Clock High,https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,Henry King,Darryl F. Zanuck,Henry King (uncredited) Sy Bartlett Beirne Lay Jr.,Twelve O'Clock High (Sy Bartlett and Beirne Lay Jr.),Gregory Peck,Alfred Newman,Leon Shamroy,Barbara McLean,,1949-12-21 (Los Angeles); 1950-01-26 (New York City),132 minutes,United States,English,,$3.2 million (U.S. rentals),,,https://www.imdb.com/title/tt0041996/locations,,,,https://www.rottentomatoes.com/m/1022172-twelve_oclock_high,Webarchive template wayback links | 1949 films | Rotten Tomatoes ID same as Wikidata | 1949 war films | American war films | American aviation films | American black-and-white films | 1949 English-language films | World War II films based on actual events | World War II aviation films | Films about the United States Army Air Forces | Films adapted into television shows | Boeing B-17 Flying Fortress | Films based on American novels | Films featuring a Best Supporting Actor Academy Award–winning performance | Films that won the Best Sound Mixing Academy Award | 20th Century Fox films | Films directed by Henry King | Films produced by Darryl F. Zanuck | Films scored by Alfred Newman | United States National Film Registry films | 1949 American films | English-language war films
